Rk,Team,GP,GF,GA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%
18,Dallas Stars,82,230,244,61,328,18.60,65,288,77.43,8,8,2523,9.1,2559,.905
19,Philadelphia Flyers*,82,232,222,68,318,21.38,57,334,82.93,5,7,2589,9.0,2346,.905
20,Montreal Canadiens*,82,210,218,57,261,21.84,53,311,82.96,3,8,2345,9.0,2634,.917
21,New York Rangers,82,219,214,55,301,18.27,50,318,84.28,5,6,2425,9.0,2450,.913
22,Minnesota Wild,82,214,239,59,309,19.09,53,306,82.68,3,13,2266,9.4,2415,.901
23,Atlanta Thrashers,82,230,250,51,316,16.14,57,320,82.19,9,4,2409,9.5,2716,.908
24,Tampa Bay Lightning,82,213,253,63,326,19.33,67,336,80.06,2,6,2367,9.0,2575,.902
25,Carolina Hurricanes,82,226,251,56,329,17.02,62,320,80.63,7,8,2402,9.4,2574,.902
26,New York Islanders,82,214,258,49,306,16.01,71,300,76.33,7,3,2493,8.6,2619,.901
27,Columbus Blue Jackets,82,214,249,56,308,18.18,61,334,81.74,6,8,2338,9.2,2514,.901
28,Florida Panthers,82,202,234,44,309,14.24,59,286,79.37,7,8,2331,8.7,2800,.916
29,Toronto Maple Leafs,82,210,263,44,315,13.97,73,288,74.65,4,6,2671,7.9,2440,.892
30,Edmonton Oilers,82,206,278,52,301,17.28,67,305,78.03,6,5,2321,8.9,2716,.898
